repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
Significant-Gravitas/AutoGPT,GraphQL,2309.0777000179514,26671,1,4987,4986.0,1.0,1.0,2025-11-27T20:07:12Z,success,
langchain-ai/langchain,GraphQL,2892.3172000213526,27889,1,4986,4985.0,1.0,1.0,2025-11-27T20:07:12Z,success,
electron/electron,GraphQL,2614.548899990041,30960,1,4985,4984.0,1.0,1.0,2025-11-27T20:07:12Z,success,
AUTOMATIC1111/stable-diffusion-webui,GraphQL,2240.7005999994,25555,1,4984,4983.0,1.0,1.0,2025-11-27T20:07:12Z,success,
langchain-ai/langchain,REST,21527.381899999455,1853518,16,3690,3675.0,15.0,,1764271296,success,
nodejs/node,GraphQL,2520.347799989395,26872,1,4983,4982.0,1.0,1.0,2025-11-27T20:07:12Z,success,
freeCodeCamp/freeCodeCamp,GraphQL,3049.2043000122067,27594,1,4982,4981.0,1.0,1.0,2025-11-27T20:07:12Z,success,
facebook/react-native,REST,20792.72700002184,1689728,16,3675,3660.0,15.0,,1764271296,success,
ollama/ollama,REST,21094.299799966393,1630000,16,3660,3645.0,15.0,,1764271296,success,
public-apis/public-apis,REST,22438.01779995556,1515135,16,3645,3630.0,15.0,,1764271296,success,
justjavac/free-programming-books-zh_CN,REST,23747.862799966242,890642,16,3630,3615.0,15.0,,1764271296,success,
twbs/bootstrap,REST,24067.942300025607,1723160,16,3615,3600.0,15.0,,1764271296,success,
Hack-with-Github/Awesome-Hacking,REST,21896.628499991493,583813,16,3600,3585.0,15.0,,1764271296,success,
rust-lang/rust,GraphQL,3057.533700019121,30827,1,4981,4980.0,1.0,1.0,2025-11-27T20:07:12Z,success,
Genymobile/scrcpy,REST,22869.18219999643,1406571,16,3585,3570.0,15.0,,1764271296,success,
huggingface/transformers,GraphQL,2635.888299992075,25738,1,4980,4979.0,1.0,1.0,2025-11-27T20:07:12Z,success,
papers-we-love/papers-we-love,GraphQL,2026.6653000144288,10727,1,4979,4978.0,1.0,1.0,2025-11-27T20:07:12Z,success,
papers-we-love/papers-we-love,REST,7246.5593999950215,287684,6,3570,3565.0,5.0,,1764271296,success,
GrowingGit/GitHub-Chinese-Top-Charts,GraphQL,1608.0223000026308,22167,1,4978,4977.0,1.0,1.0,2025-11-27T20:07:12Z,success,
labuladong/fucking-algorithm,GraphQL,1680.4212999995798,10032,1,4977,4976.0,1.0,1.0,2025-11-27T20:07:12Z,success,
github/gitignore,GraphQL,2044.3046000145841,11666,1,4976,4975.0,1.0,1.0,2025-11-27T20:07:12Z,success,
krahets/hello-algo,REST,20883.96920010564,633682,16,3565,3550.0,15.0,,1764271296,success,
open-webui/open-webui,GraphQL,2688.5922999936156,25031,1,4975,4974.0,1.0,1.0,2025-11-27T20:07:12Z,success,
microsoft/generative-ai-for-beginners,GraphQL,2057.5400999805424,13105,1,4974,4973.0,1.0,1.0,2025-11-27T20:07:12Z,success,
f/awesome-chatgpt-prompts,REST,21070.464199990965,1501960,16,3550,3535.0,15.0,,1764271296,success,
